date,value
1992-03-01,-0.74687
1992-04-01,3.28836
1992-05-01,5.99789
1992-06-01,6.94851
1992-07-01,4.49114
1992-08-01,6.69029
1992-09-01,5.98483
1992-10-01,10.251
1992-11-01,7.71004
1992-12-01,10.70909
1993-01-01,8.57546
1993-02-01,4.56812
1993-03-01,5.99959
1993-04-01,10.81633
1993-05-01,9.98207
1993-06-01,7.35812
1993-07-01,10.13407
1993-08-01,7.73589
1993-09-01,8.25759
1993-10-01,8.83872
1993-11-01,11.69033
1993-12-01,8.62134
1994-01-01,7.71232
1994-02-01,13.18199
1994-03-01,13.89102
1994-04-01,11.78637
1994-05-01,6.68478
1994-06-01,9.42399
1994-07-01,7.78733
1994-08-01,10.97008
1994-09-01,9.6463
1994-10-01,10.66971
1994-11-01,10.60606
1994-12-01,9.06104
1995-01-01,7.59144
1995-02-01,3.32041
1995-03-01,5.66038
1995-04-01,1.02142
1995-05-01,6.09611
1995-06-01,7.07979
1995-07-01,4.79987
1995-08-01,5.44118
1995-09-01,6.10948
1995-10-01,1.35006
1995-11-01,2.44056
1995-12-01,5.91406
1996-01-01,3.55997
1996-02-01,8.18923
1996-03-01,6.88776
1996-04-01,10.81213
1996-05-01,8.85083
1996-06-01,4.13815
1996-07-01,6.64025
1996-08-01,5.64079
1996-09-01,4.95931
1996-10-01,7.94546
1996-11-01,6.3941
1996-12-01,2.96407
1997-01-01,8.90369
1997-02-01,5.85042
1997-03-01,6.13067
1997-04-01,2.64901
1997-05-01,1.48508
1997-06-01,4.88497
1997-07-01,6.36053
1997-08-01,7.46663
1997-09-01,5.32475
1997-10-01,5.21196
1997-11-01,7.02109
1997-12-01,8.4763
1998-01-01,4.22295
1998-02-01,5.32764
1998-03-01,4.10401
1998-04-01,8.68817
1998-05-01,12.76442
1998-06-01,9.85615
1998-07-01,7.50314
1998-08-01,7.13896
1998-09-01,11.23611
1998-10-01,13.06748
1998-11-01,10.40767
1998-12-01,12.34419
1999-01-01,10.28649
1999-02-01,11.45523
1999-03-01,11.70514
1999-04-01,10.97481
1999-05-01,9.90621
1999-06-01,12.49838
1999-07-01,12.45126
1999-08-01,11.08421
1999-09-01,9.42689
1999-10-01,5.93117
1999-11-01,6.51669
1999-12-01,6.15605
2000-01-01,12.39485
2000-02-01,12.93532
2000-03-01,11.59052
2000-04-01,7.04862
2000-05-01,6.03227
2000-06-01,3.51504
2000-07-01,3.71012
2000-08-01,3.95688
2000-09-01,6.26426
2000-10-01,6.05991
2000-11-01,4.84389
2000-12-01,2.66352
2001-01-01,0.86947
2001-02-01,0.88106
2001-03-01,0.19495
2001-04-01,0.85499
2001-05-01,0.99228
2001-06-01,3.99688
2001-07-01,3.08704
2001-08-01,3.98279
2001-09-01,-2.92065
2001-10-01,12.43754
2001-11-01,9.15262
2001-12-01,4.60865
2002-01-01,5.9138
2002-02-01,4.71829
2002-03-01,5.3832
2002-04-01,10.26093
2002-05-01,5.09825
2002-06-01,3.62916
2002-07-01,8.28108
2002-08-01,8.19098
2002-09-01,8.82646
2002-10-01,-6.29891
2002-11-01,-1.85557
2002-12-01,5.68229
2003-01-01,1.22592
2003-02-01,-2.72579
2003-03-01,0.99497
2003-04-01,0.23964
2003-05-01,4.4666
2003-06-01,4.74174
2003-07-01,2.32628
2003-08-01,3.8835
2003-09-01,5.8136
2003-10-01,6.83576
2003-11-01,7.66479
2003-12-01,4.11922
2004-01-01,6.66599
2004-02-01,11.37599
2004-03-01,9.62828
2004-04-01,5.86712
2004-05-01,8.53137
2004-06-01,2.92928
2004-07-01,5.07367
2004-08-01,1.85972
2004-09-01,5.59024
2004-10-01,6.022
2004-11-01,4.40437
2004-12-01,6.76177
2005-01-01,4.60834
2005-02-01,4.5062
2005-03-01,3.77988
