date,value
1989-05-01,8.87172
1989-06-01,8.79711
1989-07-01,7.85243
1989-08-01,7.27398
1989-09-01,7.44292
1989-10-01,6.68628
1989-11-01,6.82432
1989-12-01,8.48833
1990-01-01,6.9466
1990-02-01,8.35092
1990-03-01,8.51299
1990-04-01,6.07213
1990-05-01,5.07418
1990-06-01,6.01609
1990-07-01,6.27279
1990-08-01,7.40107
1990-09-01,7.74543
1990-10-01,7.77306
1990-11-01,7.89585
1990-12-01,5.62136
1991-01-01,4.94147
1991-02-01,3.60767
1991-03-01,3.77993
1991-04-01,4.16795
1991-05-01,5.04399
1991-06-01,3.30771
1991-07-01,3.44062
1991-08-01,2.21071
1991-09-01,0.73957
1991-10-01,0.20663
1991-11-01,-0.08793
1991-12-01,0.4427
1992-01-01,2.66535
1992-02-01,2.74013
1992-03-01,1.55115
1992-04-01,2.56587
1992-05-01,2.11357
1992-06-01,2.80035
1992-07-01,3.0238
1992-08-01,3.40023
1992-09-01,4.30697
1992-10-01,5.44973
1992-11-01,4.78193
1992-12-01,5.68071
1993-01-01,3.70192
1993-02-01,4.12093
1993-03-01,4.16667
1993-04-01,3.74772
1993-05-01,4.1301
1993-06-01,3.33365
1993-07-01,3.38004
1993-08-01,2.74192
1993-09-01,2.78716
1993-10-01,2.44902
1993-11-01,3.33178
1993-12-01,2.73401
1994-01-01,2.91145
1994-02-01,3.36601
1994-03-01,4.20418
1994-04-01,4.03732
1994-05-01,2.95869
1994-06-01,4.5442
1994-07-01,4.34106
1994-08-01,5.92443
1994-09-01,5.40491
1994-10-01,5.53536
1994-11-01,4.6875
1994-12-01,5.43978
1995-01-01,5.6852
1995-02-01,3.86473
1995-03-01,3.90096
1995-04-01,3.75633
1995-05-01,4.84875
1995-06-01,4.39958
1995-07-01,3.82691
1995-08-01,2.04329
1995-09-01,3.03162
1995-10-01,1.75695
1995-11-01,2.79527
1995-12-01,2.83196
1996-01-01,2.31032
1996-02-01,4.16021
1996-03-01,4.92885
1996-04-01,5.91407
1996-05-01,5.04879
1996-06-01,4.98269
1996-07-01,5.19063
1996-08-01,5.73562
1996-09-01,5.0021
1996-10-01,6.91494
1996-11-01,6.29459
1996-12-01,6.09868
1997-01-01,5.9995
1997-02-01,6.1027
1997-03-01,5.20382
1997-04-01,3.32121
1997-05-01,2.82714
1997-06-01,3.0971
1997-07-01,3.76115
1997-08-01,4.13256
1997-09-01,4.33947
1997-10-01,3.22198
1997-11-01,3.64785
1997-12-01,2.47804
1998-01-01,2.93216
1998-02-01,1.82371
1998-03-01,1.26572
1998-04-01,2.73737
1998-05-01,3.51139
1998-06-01,3.65169
1998-07-01,3.33049
1998-08-01,2.73561
1998-09-01,2.60896
1998-10-01,3.13674
1998-11-01,3.14619
1998-12-01,4.57606
1999-01-01,5.39178
1999-02-01,5.99311
1999-03-01,6.59459
1999-04-01,7.66596
1999-05-01,7.82424
1999-06-01,6.87293
1999-07-01,6.57372
1999-08-01,7.9583
1999-09-01,9.11606
1999-10-01,8.72992
1999-11-01,8.40473
1999-12-01,11.07859
2000-01-01,6.06522
2000-02-01,7.26459
2000-03-01,9.88418
2000-04-01,8.05345
2000-05-01,7.82658
2000-06-01,8.83285
2000-07-01,8.86201
2000-08-01,7.60786
2000-09-01,7.99808
2000-10-01,7.55027
2000-11-01,7.13312
2000-12-01,4.59157
2001-01-01,8.08909
2001-02-01,6.02531
2001-03-01,2.1473
2001-04-01,3.52703
2001-05-01,4.63446
2001-06-01,2.69885
2001-07-01,2.85567
2001-08-01,2.67304
2001-09-01,1.0217
2001-10-01,1.23363
2001-11-01,0.5151
2001-12-01,-0.91957
2002-01-01,-0.22122
2002-02-01,0.60956
2002-03-01,2.14702
2002-04-01,1.59282
2002-05-01,-0.02495
2002-06-01,2.01034
2002-07-01,1.60176
2002-08-01,1.6413
2002-09-01,1.53904
2002-10-01,2.68844
2002-11-01,4.0744
2002-12-01,4.62145
2003-01-01,5.60623
2003-02-01,6.46892
2003-03-01,6.30568
2003-04-01,4.28669
2003-05-01,3.14489
2003-06-01,3.84877
2003-07-01,4.90263
2003-08-01,7.22638
2003-09-01,7.86934
2003-10-01,5.82334
2003-11-01,6.1459
2003-12-01,6.30089
2004-01-01,6.49031
2004-02-01,4.61174
2004-03-01,6.0556
2004-04-01,6.67581
2004-05-01,9.49788
2004-06-01,7.72754
2004-07-01,6.97195
2004-08-01,5.30841
2004-09-01,5.45423
2004-10-01,7.97688
2004-11-01,7.70288
2004-12-01,7.67648
2005-01-01,6.2412
2005-02-01,7.50227
2005-03-01,5.3314
2005-04-01,7.51077
2005-05-01,5.70718
2005-06-01,6.17373
2005-07-01,7.28335
2005-08-01,8.72829
2005-09-01,10.2083
2005-10-01,9.83405
2005-11-01,6.52451
2005-12-01,6.39134
2006-01-01,8.25513
2006-02-01,7.94328
2006-03-01,7.698
2006-04-01,7.78714
2006-05-01,8.50886
2006-06-01,8.30083
2006-07-01,8.70436
2006-08-01,6.98448
2006-09-01,3.57777
2006-10-01,1.53044
2006-11-01,3.42934
2006-12-01,5.94751
2007-01-01,3.64384
2007-02-01,3.56463
2007-03-01,5.48469
2007-04-01,3.80773
2007-05-01,4.53735
2007-06-01,4.54786
2007-07-01,3.68481
2007-08-01,2.43052
2007-09-01,4.58335
2007-10-01,5.46301
2007-11-01,8.34942
2007-12-01,6.23999
2008-01-01,6.44552
2008-02-01,5.5401
2008-03-01,5.45996
2008-04-01,5.82055
2008-05-01,6.00378
2008-06-01,7.51493
2008-07-01,7.3583
2008-08-01,7.45884
2008-09-01,4.92005
2008-10-01,3.00423
2008-11-01,-4.098
2008-12-01,-7.56239
2009-01-01,-6.31714
2009-02-01,-4.83381
2009-03-01,-7.11766
2009-04-01,-6.87989
2009-05-01,-7.34156
2009-06-01,-7.36991
2009-07-01,-7.69427
2009-08-01,-5.94403
2009-09-01,-4.16395
2009-10-01,-1.94883
2009-11-01,3.098
2009-12-01,6.94864
2010-01-01,6.21713
2010-02-01,5.46428
2010-03-01,6.69452
2010-04-01,6.48236
2010-05-01,5.14144
2010-06-01,3.48692
2010-07-01,3.27356
2010-08-01,2.92552
2010-09-01,3.2847
2010-10-01,3.56499
2010-11-01,4.6718
2010-12-01,4.91436
2011-01-01,5.52755
2011-02-01,5.64854
2011-03-01,6.99537
2011-04-01,7.68276
2011-05-01,8.2006
2011-06-01,8.71329
2011-07-01,8.20497
2011-08-01,7.58554
2011-09-01,7.32553
2011-10-01,6.48418
2011-11-01,5.6512
2011-12-01,4.48756
2012-01-01,4.42209
2012-02-01,5.38445
2012-03-01,3.99684
2012-04-01,2.89253
2012-05-01,2.53598
2012-06-01,0.90194
2012-07-01,1.22609
2012-08-01,2.65839
2012-09-01,2.65255
2012-10-01,3.16727
2012-11-01,2.24875
2012-12-01,2.14332
2013-01-01,2.97166
2013-02-01,2.41474
2013-03-01,1.41172
2013-04-01,0.45987
2013-05-01,1.62069
2013-06-01,2.7832
2013-07-01,3.61745
2013-08-01,2.06924
